0,1,2,3,4,5,6
7557.0,1.0,1.0,66.9129,163.0,375.962,1.0
7557.0,2.0,0.0,95.0379,266.0,375.962,1.0
7557.0,3.0,1.0,136.85,779.0,375.962,1.0
7557.0,4.0,61.0,77.7879,452.0,375.962,1.0
7557.0,5.0,70.0,86.6004,409.0,375.962,1.0
7557.0,6.0,77.0,73.6629,994.0,375.962,1.0
7557.0,7.0,78.0,44.4129,895.0,375.962,1.0
7557.0,8.0,75.0,191.6,1181.0,375.962,1.0
7557.0,9.0,75.0,105.538,791.0,375.962,1.0
7557.0,10.0,87.0,214.85,1549.0,375.962,1.0
7557.0,11.0,87.0,74.6004,1400.0,375.962,1.0
7557.0,12.0,99.0,227.413,1307.0,375.962,1.0
7557.0,13.0,99.0,68.6004,1882.0,375.962,1.0
7557.0,14.0,111.0,221.038,1240.0,375.962,1.0
7557.0,15.0,111.0,72.9129,1211.0,375.962,1.0
7557.0,16.0,127.0,3.1629,3414.0,375.962,1.0
7557.0,17.0,0.0,248.788,1488.0,375.962,1.0
7557.0,18.0,139.0,38.6004,1866.0,375.962,1.0
7557.0,19.0,0.0,177.913,1305.0,375.962,1.0
7557.0,20.0,1.0,48.5379,1773.0,375.962,1.0
7557.0,21.0,2.0,187.1,1832.0,375.962,1.0
7557.0,22.0,1.0,89.9754,2185.0,375.962,1.0
7557.0,23.0,2.0,155.975,2457.0,375.962,1.0
7557.0,24.0,174.0,222.163,1434.0,375.962,1.0
7557.0,25.0,174.0,117.35,1691.0,375.962,1.0
7557.0,26.0,174.0,60.3504,1553.0,375.962,1.0
7557.0,27.0,174.0,390.163,531.0,375.962,1.0
7557.0,27.0,175.0,633.725,324.0,375.962,1.0
7557.0,28.0,2.0,53.7879,2244.0,375.962,1.0
7557.0,29.0,2.0,226.663,1347.0,375.962,1.0
7557.0,30.0,2.0,22.8504,1338.0,375.962,1.0
7557.0,31.0,2.0,305.975,615.0,375.962,1.0
7557.0,32.0,238.0,175.1,2028.0,375.962,1.0
7557.0,33.0,239.0,2.0379,1142.0,375.962,1.0
7557.0,34.0,239.0,195.538,1564.0,375.962,1.0
7557.0,35.0,239.0,181.475,1404.0,375.962,1.0
7557.0,36.0,1.0,207.725,1347.0,375.962,1.0
7557.0,37.0,1.0,128.413,1768.0,375.962,1.0
7557.0,38.0,1.0,51.5379,2950.0,375.962,1.0
7557.0,39.0,1.0,343.1,1010.0,375.962,1.0
7557.0,39.0,2.0,465.725,595.0,375.962,1.0
7557.0,40.0,1.0,212.788,861.0,375.962,1.0
7557.0,41.0,2.0,12.9129,594.0,375.962,1.0
7557.0,42.0,2.0,237.913,1002.0,375.962,1.0
7557.0,0.0,21.0,120.538,206.0,375.962,1.0
7557.0,1.0,23.0,43.2879,189.0,375.962,1.0
7557.0,2.0,25.0,196.475,492.0,375.962,1.0
7557.0,3.0,29.0,39.1629,541.0,375.962,1.0
7557.0,4.0,27.0,152.975,649.0,375.962,1.0
7557.0,5.0,31.0,76.4754,485.0,375.962,1.0
7557.0,6.0,34.0,16.4754,733.0,375.962,1.0
7557.0,7.0,34.0,121.85,1247.0,375.962,1.0
7557.0,9.0,35.0,220.1,1823.0,375.962,1.0
7557.0,10.0,40.0,215.225,1889.0,375.962,1.0
7557.0,11.0,41.0,76.2879,1137.0,375.962,1.0
7557.0,12.0,46.0,59.4129,2010.0,375.962,1.0
7557.0,13.0,46.0,168.538,1582.0,375.962,1.0
7557.0,14.0,51.0,149.225,1908.0,375.962,1.0
